SUBSTATIONID,Matched_Station_Name,State,RegionID,MatchScore
H13_ROSS,Ross,Queensland,QLD1,90
T53_KAM,Tangkam,Queensland,QLD1,62
RCTS,Port Stanvac,South Australia,SA1,68
HOTS,Port Stanvac,South Australia,SA1,68
MITCHELL,Mitchell,New South Wales,NSW1,100
BAYSWATR,Bayswater,New South Wales,NSW1,94
ARMIDALE,Armidale,New South Wales,NSW1,100
STAN_PS,Postmans Ridge,Queensland,QLD1,75
TAMWORTH,Tamworth,New South Wales,NSW1,100
H29_STAN,Hillston,New South Wales,NSW1,53
T105_OON,Tomerong,New South Wales,NSW1,53
NEWCSTLE,Newcastle,New South Wales,NSW1,94
SSCOR,Tods Corner,Tasmania,TAS1,72
TEMCO,Temora,New South Wales,NSW1,73
T23_ROCK,White Rock Wind Farm,New South Wales,NSW1,64
T80_REDB,Redbank,New South Wales,NSW1,57
H31_MDNR,Molendinar,Queensland,QLD1,47
FINLEY,Finley,New South Wales,NSW1,100
TUMUT3,Tumut 132,New South Wales,NSW1,86
SYD_STH,Sydney South,New South Wales,NSW1,71
275KV_812,Muswellbrook 132,New South Wales,NSW1,34
H73_RAGL,Raglan,Queensland,QLD1,62
