SUBSTATIONID,Matched_Station_Name,State,RegionID,MatchScore
DPTS,Dapto,New South Wales,NSW1,67
BENDEELA,Bendemeer,New South Wales,NSW1,71
STS_WF,West Castle Hill,New South Wales,NSW1,54
STSBHW_1,BHP,New South Wales,NSW1,60
T241_LKR,X41,Queensland,QLD1,60
T234_BLV,Bellevue,Queensland,QLD1,40
P_AD_N,Pandoin,Queensland,QLD1,73
H77_CLMB,Coleambally,New South Wales,NSW1,51
INVERELL,Inverell,New South Wales,NSW1,100
T37_COLL,Mt Colah,New South Wales,NSW1,57
EAST_LIS,North east LLink,Victoria,VIC1,77
ALSTONVL,Alstonville,New South Wales,NSW1,84
P_PIRI,Port Pirie,South Australia,SA1,72
OLYM_W,Olympic Dam West,South Australia,SA1,72
H87_CRCK,Leigh Creek South,South Australia,SA1,51
T188_DND,Studland Bay Wind Farm,Tasmania,TAS1,51
T215_EDW,Kew,Victoria,VIC1,60
WHITERCK,White Rock,New South Wales,NSW1,94
H78_ORAN,Oura,New South Wales,NSW1,68
AT.ARWF,Cape Bridgewater Wind Farm,Victoria,VIC1,60
MASONPRK,Mason Park,New South Wales,NSW1,94
CWTS,Watsonia,Victoria,VIC1,68
H85_COOP,Cooma,New South Wales,NSW1,50
94H,Hay,New South Wales,NSW1,33
JLA,Balhannah,South Australia,SA1,60
SBK_E_PS,Kempsey,New South Wales,NSW1,62
DCPKSTEE,Rocky Street,Queensland,QLD1,63
CHARMHVN,Charmhaven,New South Wales,NSW1,89
T225_CCK,Cumnock,New South Wales,NSW1,43
H60_WALK,South Walker Creek,Queensland,QLD1,64
CATAGNYA,Catagunya,Tasmania,TAS1,94
WAYATINA,Wayatinah,Tasmania,TAS1,94
S2_HALYS,Halys,Queensland,QLD1,83
LISM_SS,Isis,Queensland,QLD1,68
WDP,Waddamana 220,Tasmania,TAS1,60
EMEROO,Bendemeer,New South Wales,NSW1,66
BOCOROCK,Corio,Victoria,VIC1,72
275KV_879,Blackstone 275,Queensland,QLD1,34
275KV_8911,Woolooga 275,Queensland,QLD1,30
T221_WTG,Wotonga,Queensland,QLD1,43
H48_B2PS,BHP,New South Wales,NSW1,60
MBH_2,Ourimbah,New South Wales,NSW1,68
MBH_3,Ourimbah,New South Wales,NSW1,68
TARRALEA,Tarraleah,Tasmania,TAS1,94
275KV_8913,Muswellbrook 132,New South Wales,NSW1,30
L_ECHO,Lake Echo,Tasmania,TAS1,77
WKPS,Hawksbury,New South Wales,NSW1,68
T83_ROMA,Roma,Queensland,QLD1,90
DERBY,Derby,Tasmania,TAS1,100
ROMA_PS,Roma,Queensland,QLD1,90
MRTS,Port Stanvac,South Australia,SA1,68
BOYER,Boyer,Tasmania,TAS1,100
TARALGA,Taralga Wind Farm,New South Wales,NSW1,90
GOULBURN,Goulburn,New South Wales,NSW1,100
DE_MR ,Derwent Bridge,Tasmania,TAS1,68
H91_HGTN,Heatherton,Victoria,VIC1,47
SORELL,Sorell,Tasmania,TAS1,100
REDHIL,Red Hill,South Australia,SA1,92
CLEM_G,Clements Gap Wind Farm,South Australia,SA1,72
BGTS,Knights Road,Tasmania,TAS1,68
S_TOWN,Queenstown,Tasmania,TAS1,90
110KV_7246/1,X41,Queensland,QLD1,60
BLGT,Blyth West,South Australia,SA1,68
MOREE_SF,Moree,New South Wales,NSW1,83
KANM_M,Kanmantoo Mine,South Australia,SA1,72
BACK_C,Middleback,South Australia,SA1,80
WAT_WF,Batlow,New South Wales,NSW1,55
LIN_GP,Basslink-George Town,Tasmania,TAS1,72
SAVRIVER,Savage River,Tasmania,TAS1,84
HALLET,Sale,Victoria,VIC1,68
66KV_6011,Blackstone 110,Queensland,QLD1,34
DALR_N,Balranald,New South Wales,NSW1,72
NAMBUCCA,Nambucca,New South Wales,NSW1,100
MNWF,Walkamin,Queensland,QLD1,51
MSWF,Muswellbrook 330,New South Wales,NSW1,68
275KV_814/1,X41,Queensland,QLD1,60
275KV_8900,Woolooga 275,Queensland,QLD1,30
275KV_8840/3,X41,Queensland,QLD1,30
MW_4,Mowbray,Tasmania,TAS1,60
275KV_8840/2,X41,Queensland,QLD1,30
66KV_6056,Kew,Victoria,VIC1,30
MW_3,MDR Pump MW3,South Australia,SA1,90
N_HOBART,North Hobart,Tasmania,TAS1,78
HGTS,Knights Road,Tasmania,TAS1,68
STH_LISM,Lismore,New South Wales,NSW1,57
275KV_8815,Woolooga 275,Queensland,QLD1,30
MA_3,Panorama,New South Wales,NSW1,72
132KV_7117/3,Tumut 132,New South Wales,NSW1,33
MDLBCK,Middleback,South Australia,SA1,75
KIAMALSF,Kiamal Solar Farm,Victoria,VIC1,79
WARTAH_T,Waratah,Tasmania,TAS1,86
PIEMAN,Pimba,South Australia,SA1,73
997/2,Mount Piper 132,New South Wales,NSW1,22
QNSTOWN,Queenstown,Tasmania,TAS1,82
PIMBA,Pimba,South Australia,SA1,100
MT_G_S,West Gosford,New South Wales,NSW1,68
275KV_8893,Woolooga 275,Queensland,QLD1,30
EMERALD,Emerald,Queensland,QLD1,100
BGS,Homebush Bay,New South Wales,NSW1,60
NYNGN132,Nyngan,New South Wales,NSW1,71
PALOONA,Paloona,Tasmania,TAS1,100
MEWF,Moe,Victoria,VIC1,57
T243_YRN,Ayr,Queensland,QLD1,60
275KV_813/1,Muswellbrook 132,New South Wales,NSW1,30
BRYBNKSS,Braybrook,Victoria,VIC1,59
110KV_7247/3,Burnie 110,Tasmania,TAS1,32
110KV_7246/3,Burnie 110,Tasmania,TAS1,32
110KV_7247/1,X41,Queensland,QLD1,60
ARTHURS,Arthurs Lake,Tasmania,TAS1,90
BBTS_TGTS_220,Tumut 2,New South Wales,NSW1,45
BANGOWF,Bango Wind Farm,New South Wales,NSW1,77
STOCKDIL,St Kilda,Victoria,VIC1,67
275KV_813/2,Muswellbrook 132,New South Wales,NSW1,40
BRYBNKWF,Berrybank Wind Farm,Victoria,VIC1,68
T255_RRS,Torrens Island A,South Australia,SA1,51
275KV_813,Muswellbrook 132,New South Wales,NSW1,34
LYPA,Suffolk Park,New South Wales,NSW1,68
GLANV,Raglan,Queensland,QLD1,73
YARRN_SF,Yarraman,Queensland,QLD1,67
275KV_814/2,Muswellbrook 132,New South Wales,NSW1,30
CRUDNEWF,Kew,Victoria,VIC1,60
STARWOOD,Starwood,Tasmania,TAS1,100
SSQRT,SSQRT,Queensland,QLD1,100
MW_1,MDR Pump MW1,South Australia,SA1,90
CLC,Colac,Victoria,VIC1,75
SSNRV_T,SSQRT,Queensland,QLD1,73
MW_2,MDR Pump MW2,South Australia,SA1,90
WIN,Clements Gap Wind Farm,South Australia,SA1,90
LIMN1_SF,Lindisfarne,Tasmania,TAS1,64
KESWIC,Keswick,South Australia,SA1,92
WHIT_S,Whitmore Square,South Australia,SA1,72
275KV_8901,Woolooga 275,Queensland,QLD1,30
EMRLDWST,Beaconsfield West,New South Wales,NSW1,68
VBB,Tyabb,Victoria,VIC1,60
T60_STAN,Port Stanvac,South Australia,SA1,64
WALGBESS,Walgett,New South Wales,NSW1,67
MA_2,Panorama,New South Wales,NSW1,72
SNAP_P,Snapper Mine,New South Wales,NSW1,90
BOGBRI_N,Boggabri,New South Wales,NSW1,80
MOREE,Moree,New South Wales,NSW1,100
CHARTWRS,Charters Towers,Queensland,QLD1,79
CAPERVR,Cape River East,Queensland,QLD1,77
66kV_6383,Muswellbrook 330,New South Wales,NSW1,34
LYPB,Olympic Dam West,South Australia,SA1,68
HUGH,Hughenden,Queensland,QLD1,90
